00_TYPE,01_DISTACNE,02_PERFORMANCE,03_Detail_01_Build_Time,03_Detail_02_Compute_Time,03_Sampling_Rate,04_cand_1,04_cand_2,,,,,,Vertex,Sphere,AABB,,Vertex,Sphere,AABB
AABB,45.7204,1949.9,4.6438,945.455,1.2,"60.867050, 76.568550, 38.632504","64.680473, 31.015638, 37.769615",,,,,,,,,,,,
Vertex,46.1761,3027.83,4.5826,1042.69,1.3,"61.386978, 76.658463, 38.002647","65.492661, 30.670532, 37.304695",,,,,,,,,,,,
Sphere,48.8718,2080.12,4.5134,1008,1.3,"61.205879, 76.500793, 37.872784","55.321312, 28.138588, 34.010098",,,,,,,,,,,,
AABB,45.7204,2107.42,4.5678,1021.93,1.3,"60.867050, 76.568550, 38.632504","64.680473, 31.015638, 37.769615",,,,,,,,,,,,
Vertex,46.3027,3288.18,4.5506,1138.18,1.4,"60.751228, 76.486984, 38.010712","65.251335, 30.413382, 38.966282",,,,,,,,,,,,
Sphere,48.3429,2233.15,4.5564,1083.43,1.4,"60.892487, 76.648689, 38.524601","69.291054, 29.080025, 40.453823",,,,,,,,,,,,
AABB,45.5539,2263.19,4.7571,1098.39,1.4,"61.524357, 76.938362, 38.517464","62.984959, 31.445385, 36.669193",,,,,,,,,,,,
Vertex,46.3237,3570.86,5.0036,1228.41,1.5,"61.575062, 76.854019, 38.198132","63.831078, 30.709301, 34.812313",,,,,,,,,,,,
Sphere,48.3429,2388.77,4.9813,1158.79,1.5,"60.892487, 76.648689, 38.524601","69.291054, 29.080025, 40.453823",,,,,,,,,,,,
AABB,45.5539,2419.11,4.6664,1173.94,1.5,"61.524357, 76.938362, 38.517464","62.984959, 31.445385, 36.669193",,,,,,,,,,,,
Vertex,46.5042,3783.56,4.795,1317.64,1.6,"61.199493, 76.822472, 38.434185","63.831078, 30.413382, 39.817646",,,,,,,,,,,,
Sphere,47.491,2536.82,4.4751,1231.24,1.6,"61.341400, 76.739937, 38.946445","58.596794, 29.367302, 37.025127",,,,,,,,,,,,
AABB,45.5338,2569.62,4.7088,1249.52,1.6,"61.484146, 76.931129, 38.422546","62.180202, 31.402662, 38.377495",,,,,,,,,,,,
Vertex,46.4876,4098.94,4.7284,1420.99,1.7,"61.452408, 76.784271, 38.933365","61.357685, 30.413382, 35.643108",,,,,,,,,,,,
Sphere,47.2008,2692.36,4.5985,1306.93,1.7,"61.064320, 76.757652, 38.345829","66.715805, 29.897070, 38.595665",,,,,,,,,,,,
AABB,45.5338,2730.57,4.5822,1326.72,1.7,"61.484146, 76.931129, 38.422546","62.180202, 31.402662, 38.377495",,,,,,,,,,,,
Vertex,46.1455,4340.44,4.5403,1515.06,1.8,"61.362309, 76.797493, 38.899082","60.403461, 30.689524, 37.304695",,,,,,,,,,,,
Sphere,47.2008,2851.3,4.66,1382.85,1.8,"61.064320, 76.757652, 38.345829","66.715805, 29.897070, 38.595665",,,,,,,,,,,,
AABB,45.5338,2888.04,4.4922,1403.18,1.8,"61.484146, 76.931129, 38.422546","62.180202, 31.402662, 38.377495",,,,,,,,,,,,
Vertex,46.0071,4605.77,4.8365,1610.23,1.9,"61.497196, 76.911194, 38.688564","62.446423, 30.921354, 39.520145",,,,,,,,,,,,
Sphere,47.2008,3004.08,4.8928,1457.98,1.9,"61.064320, 76.757652, 38.345829","66.715805, 29.897070, 38.595665",,,,,,,,,,,,
AABB,45.5338,3047.91,4.7911,1478.95,1.9,"61.484146, 76.931129, 38.422546","62.180202, 31.402662, 38.377495",,,,,,,,,,,,
Vertex,46.3112,4891.36,4.8531,1718,2,"61.436989, 76.826447, 38.892735","62.718605, 30.689524, 35.089241",,,,,,,,,,,,
Sphere,47.2008,3155.52,4.8275,1533.98,2,"61.064320, 76.757652, 38.345829","66.715805, 29.897070, 38.595665",,,,,,,,,,,,
AABB,45.5338,3200.98,4.6739,1554.41,2,"61.484146, 76.931129, 38.422546","62.180202, 31.402662, 38.377495",,,,,,,,,,,,
