00_TYPE,01_DISTACNE,02_PERFORMANCE,03_Detail_01_Build_Time,03_Detail_02_Compute_Time,03_Sampling_Rate,04_cand_1,04_cand_2,,,,,VERTEX,SPHERE,AABB,,VERTEX,SPHERE,AABB
AABB,0.102835,251.842,4.6388,121.054,1.2,"-0.090811, -0.027587, -0.059025","0.012018, -0.027564, -0.057901",,,,,,,,,,,
Vertex,0.105301,353.464,4.5481,179.037,1.3,"-0.107623, 0.011963, -0.159064","-0.002378, 0.009863, -0.156337",,,,,,,,,,,
Sphere,0.122094,266.375,4.5106,128.649,1.3,"0.196772, -0.005537, -0.147925","0.080700, -0.005897, -0.110055",,,,,,,,,,,
AABB,0.102786,271.517,5.0031,130.866,1.3,"-0.108324, 0.011963, -0.158075","-0.005540, 0.012141, -0.157454",,,,,,,,,,,
Vertex,0.105583,384.218,4.8475,194.484,1.4,"-0.108239, 0.012312, -0.158425","-0.002728, 0.008425, -0.158075",,,,,,,,,,,
Sphere,0.121675,285.013,4.4564,137.794,1.4,"0.196422, -0.006938, -0.148984","0.080648, -0.004777, -0.111613",,,,,,,,,,,
AABB,0.102734,290.877,4.5294,140.648,1.4,"-0.108323, 0.011959, -0.158075","-0.005591, 0.011416, -0.157826",,,,,,,,,,,
Vertex,0.105948,415.517,4.7337,210.278,1.5,"-0.107655, 0.011262, -0.157375","-0.001722, 0.013012, -0.157025",,,,,,,,,,,
Sphere,0.121675,304.272,4.4722,147.844,1.5,"0.196422, -0.006938, -0.148984","0.080648, -0.004777, -0.111613",,,,,,,,,,,
AABB,0.102734,309.432,4.3577,150.292,1.5,"-0.108323, 0.011959, -0.158075","-0.005591, 0.011416, -0.157826",,,,,,,,,,,
Vertex,0.105083,444.741,4.5728,226.115,1.6,"-0.108323, 0.011959, -0.158075","-0.003264, 0.010212, -0.156675",,,,,,,,,,,
Sphere,0.119877,323.125,4.5602,157.16,1.6,"0.195294, -0.009037, -0.146175","0.080077, -0.005984, -0.113217",,,,,,,,,,,
AABB,0.102734,329.943,4.7281,160.184,1.6,"-0.108323, 0.011959, -0.158075","-0.005591, 0.011416, -0.157826",,,,,,,,,,,
Vertex,0.10463,472.629,4.7617,241.536,1.7,"-0.108040, 0.011262, -0.158075","-0.003428, 0.009863, -0.156752",,,,,,,,,,,
Sphere,0.119838,342.185,4.4186,166.679,1.7,"0.197472, -0.011487, -0.136898","0.081795, -0.003446, -0.106645",,,,,,,,,,,
AABB,0.102734,347.97,4.4301,169.406,1.7,"-0.108323, 0.011959, -0.158075","-0.005591, 0.011416, -0.157826",,,,,,,,,,,
Vertex,0.104942,505.957,4.5778,258.2,1.8,"-0.108239, 0.012312, -0.158425","-0.003354, 0.009162, -0.157025",,,,,,,,,,,
Sphere,0.11847,361.595,4.8211,175.872,1.8,"0.192572, -0.005113, -0.147925","0.080936, -0.005823, -0.108275",,,,,,,,,,,
AABB,0.102734,368.176,4.4811,179.473,1.8,"-0.108323, 0.011959, -0.158075","-0.005591, 0.011416, -0.157826",,,,,,,,,,,
Vertex,0.103861,537.367,4.4645,274.318,1.9,"0.198872, -0.009387, -0.136099","0.095027, -0.007637, -0.136614",,,,,,,,,,,
Sphere,0.117406,379.537,4.5834,185.062,1.9,"0.195372, -0.007988, -0.135479","0.083361, 0.000591, -0.101360",,,,,,,,,,,
AABB,0.102734,387.21,4.426,189.068,1.9,"-0.108323, 0.011959, -0.158075","-0.005591, 0.011416, -0.157826",,,,,,,,,,,
Vertex,0.104226,571.274,4.4695,292.584,2,"-0.107623, 0.012926, -0.157725","-0.003428, 0.010562, -0.156764",,,,,,,,,,,
Sphere,0.117406,399.166,4.7574,195.011,2,"0.195372, -0.007988, -0.135479","0.083361, 0.000591, -0.101360",,,,,,,,,,,
AABB,0.102734,407.498,4.5644,199.164,2,"-0.108323, 0.011959, -0.158075","-0.005591, 0.011416, -0.157826",,,,,,,,,,,
