sep=;
00_TYPE;01_DISTACNE;02_PERFORMANCE;03_Detail_01_Build_Time;03_Detail_02_Compute_Time;04_cand_1;04_cand_2;
Vertex;0.173404;8.3388;2.6073;4.0853;-0.107167, 0.013288, -0.157953;0.059395, -0.034940, -0.157514;
Sphere;0.272506;10.1054;3.0848;1.3029;-0.093207, 0.001960, -0.152000;0.175997, 0.004172, -0.109769;
AABB;0.128045;10.1721;2.392;3.1297;-0.099657, 0.011404, -0.153862;0.027903, 0.013966, -0.164700;
Vertex;0.160368;10.7777;4.5583;1.2463;0.1;-0.098562, -0.000994, -0.177698;0.019771, -0.002108, -0.069467;
Sphere;0.275315;6.3164;2.3295;1.0005;0.1;-0.099404, 0.004838, -0.153323;0.169079, 0.007658, -0.092438;
AABB;0.137154;4.2276;2.4196;0.7741;0.1;-0.103437, 0.007194, -0.147460;0.030256, -0.002390, -0.118383;
Vertex;0.119055;10.6931;1.484;2.5491;1.6;0.199646, -0.010681, -0.135561;0.081626, -0.008679, -0.151100;
Sphere;0.236132;12.5339;2.2023;3.0426;1.6;-0.091181, 0.022972, -0.142589;0.134569, 0.023452, -0.073343;
AABB;0.10896;12.924;1.7133;4.0256;1.6;-0.108109, 0.011457, -0.158619;-0.000344, 0.003096, -0.144871;
Vertex;0.114812;11.0057;1.6695;3.3986;1.7;0.198345, -0.007844, -0.148395;0.085502, -0.011903, -0.127616;
Sphere;0.236132;11.5252;1.6556;3.1815;1.7;-0.091181, 0.022972, -0.142589;0.134569, 0.023452, -0.073343;
AABB;0.10896;13.4238;1.7281;3.3847;1.7;-0.108109, 0.011457, -0.158619;-0.000344, 0.003096, -0.144871;
Vertex;0.112985;11.877;2.1412;2.7577;1.8;0.193447, -0.010278, -0.128339;0.081029, -0.017916, -0.136682;
Sphere;0.236132;13.3362;1.7058;5.014;1.8;-0.091181, 0.022972, -0.142589;0.134569, 0.023452, -0.073343;
AABB;0.10896;13.2213;1.8334;4.3234;1.8;-0.108109, 0.011457, -0.158619;-0.000344, 0.003096, -0.144871;
Vertex;0.117931;10.8899;1.8101;2.8907;1.9;0.195664, -0.009964, -0.133610;0.081525, -0.005479, -0.104287;
Sphere;0.236132;13.5282;1.7887;3.4198;1.9;-0.091181, 0.022972, -0.142589;0.134569, 0.023452, -0.073343;
AABB;0.10896;14.1539;2.0947;3.9928;1.9;-0.108109, 0.011457, -0.158619;-0.000344, 0.003096, -0.144871;
Vertex;0.113294;13.5347;2.8765;4.2001;2;-0.107167, 0.013288, -0.157953;0.005268, 0.006677, -0.145701;
Sphere;0.236132;14.9041;1.7059;5.5477;2;-0.091181, 0.022972, -0.142589;0.134569, 0.023452, -0.073343;
AABB;0.10896;15.0581;1.9916;5.6781;2;-0.108109, 0.011457, -0.158619;-0.000344, 0.003096, -0.144871;
Vertex;0.116758;10.8135;1.6243;2.7084;1.6;0.198500, -0.011694, -0.135385;0.081908, -0.017915, -0.135649;
Sphere;0.260015;12.7009;1.9064;3.1145;1.6;0.176014, -0.008405, -0.144294;-0.082587, 0.018660, -0.143514;
AABB;0.109759;12.8504;1.9746;3.163;1.6;0.200592, -0.008917, -0.135590;0.090952, -0.012410, -0.139341;
Vertex;0.115862;11.423;1.5788;3.8592;1.7;0.197104, -0.009387, -0.128910;0.082881, -0.009921, -0.148318;
Sphere;0.260015;12.1526;2.0332;3.1965;1.7;0.176014, -0.008405, -0.144294;-0.082587, 0.018660, -0.143514;
AABB;0.109356;13.6813;1.6969;3.3958;1.7;-0.108305, 0.011796, -0.157961;0.000210, 0.004012, -0.146882;
Vertex;0.116543;13.2863;1.8841;2.8092;1.8;0.197454, -0.009387, -0.129025;0.081372, -0.018202, -0.134464;
Sphere;0.260015;14.2952;3.0257;3.276;1.8;0.176014, -0.008405, -0.144294;-0.082587, 0.018660, -0.143514;
AABB;0.109356;14.0003;2.1725;4.7041;1.8;-0.108305, 0.011796, -0.157961;0.000210, 0.004012, -0.146882;
Vertex;0.116082;12.8583;1.9947;4.933;1.9;0.201066, -0.009243, -0.136920;0.085263, -0.013598, -0.143684;
Sphere;0.249449;12.543;1.8801;3.4545;1.9;0.184504, 0.010212, -0.101025;-0.057263, 0.008377, -0.162426;
AABB;0.109356;13.3254;1.8269;3.6625;1.9;-0.108305, 0.011796, -0.157961;0.000210, 0.004012, -0.146882;
Vertex;0.114;12.8781;1.9791;2.5554;2;-0.107201, 0.013091, -0.158612;0.006537, 0.014630, -0.151045;
Sphere;0.249449;11.56;1.9691;3.4308;2;0.184504, 0.010212, -0.101025;-0.057263, 0.008377, -0.162426;
AABB;0.107634;13.7122;2.1027;5.2795;2;-0.108305, 0.011796, -0.157961;-0.000682, 0.011068, -0.156624;
